2 , 2
GrossProfit,669
Cost,68
Total profit,601
Late cars count,33
Total cars,52
Late car percent,63.46153846153846
GrossProfit,702
Cost,68
Total profit,634
Late cars count,35
Total cars,55
Late car percent,63.63636363636363
GrossProfit,701
Cost,68
Total profit,633
Late cars count,34
Total cars,56
Late car percent,60.714285714285715
GrossProfit,691
Cost,68
Total profit,623
Late cars count,35
Total cars,54
Late car percent,64.81481481481481
GrossProfit,637
Cost,68
Total profit,569
Late cars count,26
Total cars,48
Late car percent,54.166666666666664
