2 , 1
GrossProfit,637
Cost,34
Total profit,603
Late cars count,34
Total cars,48
Late car percent,70.83333333333333
GrossProfit,658
Cost,34
Total profit,624
Late cars count,33
Total cars,51
Late car percent,64.70588235294117
GrossProfit,658
Cost,34
Total profit,624
Late cars count,31
Total cars,51
Late car percent,60.78431372549019
GrossProfit,658
Cost,34
Total profit,624
Late cars count,27
Total cars,51
Late car percent,52.94117647058823
GrossProfit,658
Cost,34
Total profit,624
Late cars count,24
Total cars,51
Late car percent,47.05882352941177
