1 , 3
GrossProfit,324
Cost,102
Total profit,222
Late cars count,19
Total cars,25
Late car percent,76.0
GrossProfit,324
Cost,102
Total profit,222
Late cars count,16
Total cars,25
Late car percent,64.0
GrossProfit,336
Cost,102
Total profit,234
Late cars count,17
Total cars,25
Late car percent,68.0
GrossProfit,356
Cost,102
Total profit,254
Late cars count,22
Total cars,29
Late car percent,75.86206896551724
GrossProfit,324
Cost,102
Total profit,222
Late cars count,17
Total cars,25
Late car percent,68.0
