3 , 5
GrossProfit,1025
Cost,170
Total profit,855
Late cars count,0
Total cars,80
Late car percent,0.0
GrossProfit,1003
Cost,170
Total profit,833
Late cars count,21
Total cars,78
Late car percent,26.923076923076923
GrossProfit,1046
Cost,170
Total profit,876
Late cars count,0
Total cars,83
Late car percent,0.0
GrossProfit,992
Cost,170
Total profit,822
Late cars count,30
Total cars,77
Late car percent,38.96103896103896
GrossProfit,1002
Cost,170
Total profit,832
Late cars count,10
Total cars,79
Late car percent,12.658227848101266
