3 , 4
GrossProfit,1003
Cost,136
Total profit,867
Late cars count,13
Total cars,78
Late car percent,16.666666666666668
GrossProfit,1013
Cost,136
Total profit,877
Late cars count,1
Total cars,80
Late car percent,1.25
GrossProfit,992
Cost,136
Total profit,856
Late cars count,0
Total cars,77
Late car percent,0.0
GrossProfit,970
Cost,136
Total profit,834
Late cars count,21
Total cars,75
Late car percent,28.0
GrossProfit,1024
Cost,136
Total profit,888
Late cars count,0
Total cars,81
Late car percent,0.0
