3 , 3
GrossProfit,1023
Cost,102
Total profit,921
Late cars count,1
Total cars,82
Late car percent,1.2195121951219512
GrossProfit,1003
Cost,102
Total profit,901
Late cars count,6
Total cars,78
Late car percent,7.6923076923076925
GrossProfit,970
Cost,102
Total profit,868
Late cars count,11
Total cars,75
Late car percent,14.666666666666666
GrossProfit,971
Cost,102
Total profit,869
Late cars count,15
Total cars,74
Late car percent,20.27027027027027
GrossProfit,1003
Cost,102
Total profit,901
Late cars count,35
Total cars,78
Late car percent,44.87179487179487
