2 , 5
GrossProfit,648
Cost,170
Total profit,478
Late cars count,29
Total cars,49
Late car percent,59.183673469387756
GrossProfit,638
Cost,170
Total profit,468
Late cars count,29
Total cars,47
Late car percent,61.702127659574465
GrossProfit,691
Cost,170
Total profit,521
Late cars count,30
Total cars,54
Late car percent,55.55555555555556
GrossProfit,680
Cost,170
Total profit,510
Late cars count,32
Total cars,53
Late car percent,60.37735849056604
GrossProfit,669
Cost,170
Total profit,499
Late cars count,32
Total cars,52
Late car percent,61.53846153846154
