1 , 2
GrossProfit,336
Cost,68
Total profit,268
Late cars count,19
Total cars,25
Late car percent,76.0
GrossProfit,357
Cost,68
Total profit,289
Late cars count,20
Total cars,28
Late car percent,71.42857142857143
GrossProfit,324
Cost,68
Total profit,256
Late cars count,17
Total cars,25
Late car percent,68.0
GrossProfit,324
Cost,68
Total profit,256
Late cars count,20
Total cars,25
Late car percent,80.0
GrossProfit,356
Cost,68
Total profit,288
Late cars count,21
Total cars,29
Late car percent,72.41379310344827
