3 , 1
GrossProfit,1024
Cost,34
Total profit,990
Late cars count,0
Total cars,81
Late car percent,0.0
GrossProfit,992
Cost,34
Total profit,958
Late cars count,12
Total cars,77
Late car percent,15.584415584415584
GrossProfit,971
Cost,34
Total profit,937
Late cars count,31
Total cars,74
Late car percent,41.891891891891895
GrossProfit,980
Cost,34
Total profit,946
Late cars count,2
Total cars,77
Late car percent,2.5974025974025974
GrossProfit,1014
Cost,34
Total profit,980
Late cars count,10
Total cars,79
Late car percent,12.658227848101266
