3 , 2
GrossProfit,906
Cost,68
Total profit,838
Late cars count,37
Total cars,67
Late car percent,55.223880597014926
GrossProfit,1046
Cost,68
Total profit,978
Late cars count,0
Total cars,83
Late car percent,0.0
GrossProfit,972
Cost,68
Total profit,904
Late cars count,26
Total cars,73
Late car percent,35.61643835616438
GrossProfit,981
Cost,68
Total profit,913
Late cars count,20
Total cars,76
Late car percent,26.31578947368421
GrossProfit,992
Cost,68
Total profit,924
Late cars count,1
Total cars,77
Late car percent,1.2987012987012987
