2 , 4
GrossProfit,689
Cost,136
Total profit,553
Late cars count,24
Total cars,56
Late car percent,42.857142857142854
GrossProfit,680
Cost,136
Total profit,544
Late cars count,30
Total cars,53
Late car percent,56.60377358490566
GrossProfit,658
Cost,136
Total profit,522
Late cars count,27
Total cars,51
Late car percent,52.94117647058823
GrossProfit,679
Cost,136
Total profit,543
Late cars count,32
Total cars,54
Late car percent,59.25925925925926
GrossProfit,691
Cost,136
Total profit,555
Late cars count,33
Total cars,54
Late car percent,61.111111111111114
