1 , 4
GrossProfit,345
Cost,136
Total profit,209
Late cars count,21
Total cars,28
Late car percent,75.0
GrossProfit,366
Cost,136
Total profit,230
Late cars count,22
Total cars,31
Late car percent,70.96774193548387
GrossProfit,324
Cost,136
Total profit,188
Late cars count,16
Total cars,25
Late car percent,64.0
GrossProfit,324
Cost,136
Total profit,188
Late cars count,21
Total cars,25
Late car percent,84.0
GrossProfit,345
Cost,136
Total profit,209
Late cars count,22
Total cars,28
Late car percent,78.57142857142857
