5 pumps, 2 attendent
GrossProfit,1124
Cost,68
Total profit,1056
Late cars,0
Total cars,89
Late cars,0.0
GrossProfit,1248
Cost,68
Total profit,1180
Late cars,0
Total cars,97
Late cars,0.0
GrossProfit,1283
Cost,68
Total profit,1215
Late cars,0
Total cars,98
Late cars,0.0
GrossProfit,1123
Cost,68
Total profit,1055
Late cars,0
Total cars,90
Late cars,0.0
GrossProfit,1273
Cost,68
Total profit,1205
Late cars,0
Total cars,96
Late cars,0.0
5 pumps, 2 attendent
GrossProfit,1273
Cost,68
Total profit,1205
Late cars,0
Total cars,96
Late cars,0.0
GrossProfit,1226
Cost,68
Total profit,1158
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1123
Cost,68
Total profit,1055
Late cars,0
Total cars,90
Late cars,0.0
GrossProfit,1226
Cost,68
Total profit,1158
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1260
Cost,68
Total profit,1192
Late cars,0
Total cars,97
Late cars,0.0
