3 pumps, 4 attendent
GrossProfit,1024
Cost,136
Total profit,888
Late cars,0
Total cars,81
Late cars,0.0
GrossProfit,1003
Cost,136
Total profit,867
Late cars,18
Total cars,78
Late cars,23.076923076923077
GrossProfit,992
Cost,136
Total profit,856
Late cars,6
Total cars,77
Late cars,7.792207792207792
GrossProfit,1012
Cost,136
Total profit,876
Late cars,7
Total cars,81
Late cars,8.641975308641975
GrossProfit,1002
Cost,136
Total profit,866
Late cars,11
Total cars,79
Late cars,13.924050632911392
3 pumps, 4 attendent
GrossProfit,1036
Cost,136
Total profit,900
Late cars,0
Total cars,81
Late cars,0.0
GrossProfit,1034
Cost,136
Total profit,898
Late cars,0
Total cars,83
Late cars,0.0
GrossProfit,981
Cost,136
Total profit,845
Late cars,34
Total cars,76
Late cars,44.73684210526316
GrossProfit,1035
Cost,136
Total profit,899
Late cars,0
Total cars,82
Late cars,0.0
GrossProfit,1012
Cost,136
Total profit,876
Late cars,0
Total cars,81
Late cars,0.0
