3 pumps, 1 attendent
GrossProfit,1023
Cost,34
Total profit,989
Late cars,0
Total cars,82
Late cars,0.0
GrossProfit,992
Cost,34
Total profit,958
Late cars,18
Total cars,77
Late cars,23.376623376623378
GrossProfit,1035
Cost,34
Total profit,1001
Late cars,15
Total cars,82
Late cars,18.29268292682927
GrossProfit,1045
Cost,34
Total profit,1011
Late cars,0
Total cars,84
Late cars,0.0
GrossProfit,992
Cost,34
Total profit,958
Late cars,0
Total cars,77
Late cars,0.0
3 pumps, 1 attendent
GrossProfit,1044
Cost,34
Total profit,1010
Late cars,0
Total cars,85
Late cars,0.0
GrossProfit,961
Cost,34
Total profit,927
Late cars,34
Total cars,72
Late cars,47.22222222222222
GrossProfit,970
Cost,34
Total profit,936
Late cars,13
Total cars,75
Late cars,17.333333333333332
GrossProfit,1002
Cost,34
Total profit,968
Late cars,5
Total cars,79
Late cars,6.329113924050633
GrossProfit,1002
Cost,34
Total profit,968
Late cars,0
Total cars,79
Late cars,0.0
