1 , 3
1,0
2,3
3,13
4,15
5,16
6,18
7,19
8,21
9,22
10,24
11,26
12,38
13,39
14,41
15,42
16,44
17,56
18,57
19,59
20,60
21,61
22,64
23,76
24,77
25,79
26,80
27,82
1,0
2,3
3,14
4,15
5,17
6,19
7,21
8,23
9,35
10,37
11,38
12,39
13,41
14,43
15,45
16,46
17,48
18,50
19,53
20,65
21,66
22,68
23,70
24,71
25,74
26,85
27,87
1,0
2,3
3,13
4,14
5,15
6,18
7,30
8,32
9,34
10,36
11,48
12,50
13,51
14,53
15,54
16,55
17,57
18,59
19,61
20,63
21,75
22,77
23,78
24,80
25,81
26,83
27,85
1,0
2,3
3,14
4,16
5,17
6,18
7,19
8,20
9,22
10,24
11,27
12,39
13,41
14,43
15,45
16,47
17,49
18,50
19,51
20,52
21,55
22,67
23,68
24,70
25,72
26,73
27,75
28,75
29,77
30,79
1,0
2,3
3,14
4,17
5,29
6,30
7,31
8,33
9,34
10,35
11,36
12,38
13,40
14,40
15,42
16,44
17,46
18,48
19,60
20,62
21,64
22,66
23,67
24,69
25,72
26,84
27,85
1,0
2,3
3,14
4,15
5,17
6,18
7,20
8,21
9,23
10,24
11,25
12,27
13,30
14,42
15,44
16,46
17,48
18,50
19,52
20,55
21,66
22,67
23,69
24,71
25,72
26,74
27,75
28,77
1,0
2,3
3,14
4,15
5,17
6,19
7,21
8,33
9,34
10,35
11,37
12,38
13,40
14,52
15,54
16,56
17,58
18,60
19,71
20,72
21,74
22,76
23,79
24,91
1,0
2,3
3,15
4,16
5,17
6,18
7,19
8,21
9,23
10,25
11,28
12,40
13,41
14,41
15,42
16,44
17,45
18,46
19,47
20,50
21,61
22,61
23,63
24,75
25,76
26,78
27,80
1,0
2,3
3,14
4,16
5,17
6,19
7,19
8,21
9,22
10,23
11,25
12,27
13,39
14,41
15,42
16,42
17,44
18,47
19,59
20,60
21,62
22,63
23,66
24,78
25,78
26,80
1,0
2,3
3,15
4,16
5,28
6,30
7,31
8,33
9,35
10,47
11,49
12,51
13,53
14,54
15,56
16,57
17,59
18,62
19,73
20,74
21,75
22,76
23,78
24,90
1,0
2,3
3,14
4,16
5,17
6,18
7,18
8,21
9,32
10,34
11,36
12,37
13,39
14,41
15,42
16,43
17,45
18,48
19,59
20,61
21,63
22,65
23,66
24,68
25,70
26,72
27,73
28,74
29,76
30,79
1,0
2,3
3,14
4,16
5,18
6,20
7,22
8,23
9,25
10,27
11,28
12,31
13,42
14,43
15,44
16,47
17,59
18,60
19,62
20,64
21,76
22,77
23,79
24,80
25,82
1,0
2,3
3,13
4,15
5,16
6,19
7,30
8,32
9,33
10,34
11,36
12,38
13,41
14,53
15,54
16,56
17,68
18,70
19,72
20,73
21,75
22,76
23,78
24,80
1,0
2,3
3,14
4,15
5,15
6,17
7,19
8,21
9,22
10,23
11,25
12,27
13,29
14,32
15,43
16,45
17,46
18,48
19,50
20,62
21,63
22,64
23,67
24,78
25,79
26,81
27,82
1,0
2,3
3,14
4,16
5,19
6,30
7,31
8,33
9,45
10,46
11,48
12,50
13,51
14,53
15,55
16,56
17,59
18,71
19,73
20,75
21,76
22,77
23,79
24,81
25,83
26,85
27,86
1,0
2,3
3,14
4,15
5,17
6,28
7,29
8,31
9,33
10,34
11,37
12,49
13,50
14,51
15,52
16,53
17,56
18,68
19,69
20,71
21,73
22,75
23,77
24,80
1,0
2,3
3,15
4,16
5,19
6,30
7,32
8,35
9,47
10,59
11,61
12,63
13,64
14,65
15,67
16,69
17,71
18,73
19,85
20,88
1,0
2,3
3,15
4,17
5,19
6,31
7,33
8,35
9,35
10,38
11,49
12,50
13,53
14,65
15,66
16,67
17,69
18,72
19,83
20,86
1,0
2,3
3,14
4,16
5,19
6,30
7,31
8,33
9,35
10,36
11,39
12,51
13,53
14,54
15,55
16,57
17,58
18,60
19,61
20,64
21,75
22,78
23,90
24,91
1,0
2,3
3,14
4,15
5,16
6,18
7,19
8,21
9,23
10,35
11,37
12,49
13,51
14,52
15,54
16,56
17,57
18,58
19,59
20,61
21,64
22,76
23,78
24,80
25,81
26,81
27,83
1,0
2,3
3,14
4,16
5,17
6,18
7,20
8,22
9,24
10,26
11,28
12,30
13,31
14,43
15,45
16,46
17,47
18,49
19,51
20,53
21,56
22,68
23,70
24,71
25,72
26,73
27,74
28,77
1,0
2,3
3,14
4,15
5,17
6,19
7,21
8,22
9,24
10,26
11,38
12,39
13,40
14,42
15,44
16,45
17,46
18,49
19,60
20,62
21,63
22,64
23,65
24,67
25,68
26,69
27,70
28,72
29,74
1,0
2,3
3,14
4,15
5,17
6,20
7,31
8,33
9,35
10,37
11,40
12,52
13,54
14,56
15,58
16,59
17,61
18,64
19,74
20,77
21,88
22,89
23,90
24,93
1,0
2,3
3,14
4,15
5,16
6,16
7,18
8,20
9,32
10,34
11,36
12,38
13,40
14,41
15,42
16,43
17,46
18,57
19,59
20,61
21,62
22,63
23,66
24,77
25,78
26,80
27,82
1,0
2,3
3,14
4,17
5,29
6,30
7,32
8,34
9,36
10,38
11,40
12,42
13,43
14,46
15,58
16,59
17,62
18,74
19,75
20,76
21,77
22,79
23,80
24,82
25,84
1,0
2,3
3,14
4,15
5,16
6,18
7,19
8,21
9,22
10,24
11,27
12,38
13,39
14,41
15,42
16,44
17,46
18,47
19,49
20,51
21,52
22,54
23,55
24,57
25,59
26,71
27,73
28,73
29,75
30,76
1,0
2,3
3,13
4,15
