2 , 4
1,0
2,1
3,1
4,3
5,4
6,5
7,6
8,6
9,5
10,5
11,6
12,7
13,8
14,10
15,12
16,13
17,14
18,14
19,15
20,15
21,16
22,14
23,16
24,17
25,18
26,19
27,19
28,20
29,19
30,20
31,19
32,19
33,20
34,21
35,22
36,24
37,25
38,27
39,27
40,27
41,28
42,29
43,31
44,31
45,32
46,32
47,33
48,34
49,35
50,45
51,45
52,45
53,46
54,46
55,47
56,46
1,0
2,1
3,1
4,2
5,4
6,5
7,6
8,4
9,5
10,4
11,5
12,5
13,7
14,9
15,11
16,12
17,12
18,13
19,15
20,17
21,18
22,19
23,18
24,19
25,18
26,19
27,19
28,20
29,20
30,22
31,23
32,24
33,24
34,25
35,27
36,34
37,36
38,36
39,36
40,36
41,36
42,36
43,36
44,37
45,38
46,38
47,39
48,41
49,42
50,43
51,42
52,42
53,42
54,42
55,42
56,42
57,42
1,0
2,1
3,1
4,3
5,5
6,7
7,8
8,8
9,9
10,9
11,11
12,19
13,21
14,20
15,21
16,20
17,21
18,19
19,21
20,21
21,23
22,25
23,27
24,29
25,29
26,31
27,31
28,34
29,42
30,43
31,44
32,45
33,46
34,48
35,51
36,51
37,53
38,54
39,56
40,57
41,57
42,58
43,60
44,61
45,62
46,62
47,63
48,64
49,65
1,0
2,1
3,0
4,2
5,2
6,3
7,4
8,4
9,6
10,7
11,8
12,10
13,9
14,10
15,10
16,11
17,13
18,15
19,17
20,18
21,20
22,23
23,22
24,24
25,25
26,28
27,30
28,39
29,40
30,40
31,41
32,41
33,42
34,42
35,45
36,52
37,54
38,53
39,54
40,54
41,55
42,56
43,57
44,59
45,60
46,59
1,0
2,1
3,1
4,3
5,4
6,6
7,7
8,6
9,7
10,6
11,8
12,7
13,10
14,17
15,18
16,18
17,19
18,17
19,18
20,19
21,20
22,20
23,22
24,24
25,24
26,24
27,24
28,24
29,24
30,24
31,26
32,26
33,28
34,30
35,32
36,33
37,32
38,33
39,32
40,33
41,34
42,34
43,37
44,44
45,45
46,45
47,45
48,45
49,45
50,47
51,46
52,47
53,50
1,0
2,1
3,1
4,2
5,5
6,9
7,12
8,16
9,19
10,23
11,25
12,27
13,27
14,28
15,29
16,30
17,31
18,34
19,35
20,35
21,37
22,38
23,38
24,39
25,40
26,41
27,42
28,45
29,45
30,47
31,48
32,49
33,50
34,49
35,51
36,51
37,52
38,53
39,56
40,58
41,59
42,61
43,63
44,64
45,64
46,66
1,0
2,1
3,1
4,3
5,4
6,4
7,5
8,5
9,6
10,7
11,8
12,18
13,19
14,18
15,19
16,20
17,21
18,22
19,24
20,24
21,23
22,24
23,25
24,27
25,28
26,30
27,31
28,30
29,29
30,28
31,29
32,29
33,31
34,32
35,33
36,34
37,34
38,35
39,36
40,37
41,39
42,41
43,42
44,42
45,43
46,44
47,46
48,48
49,50
50,52
51,52
52,54
1,0
2,1
3,2
4,3
5,4
6,6
7,7
8,7
9,8
10,8
11,10
12,12
13,13
14,12
15,13
16,12
17,13
18,15
19,16
20,18
21,19
22,20
23,22
24,24
25,25
26,24
27,24
28,25
29,26
30,26
31,29
32,32
33,34
34,36
35,37
36,38
37,40
38,43
39,43
40,45
41,47
42,49
43,49
44,48
45,50
46,49
47,50
48,52
49,53
50,55
1,0
2,1
3,1
4,11
5,11
6,11
7,12
8,12
9,13
10,15
11,17
12,21
13,22
14,25
15,26
16,27
17,28
18,30
19,30
20,29
21,30
22,30
23,30
24,29
25,30
26,29
27,30
28,30
29,32
30,31
31,33
32,35
33,36
34,39
35,39
36,41
37,41
38,43
39,44
40,44
41,43
42,43
43,44
44,44
45,46
46,48
47,49
48,51
49,52
50,52
51,54
1,0
2,1
3,1
4,3
5,5
6,8
7,9
8,10
9,12
10,13
11,15
12,14
13,16
14,18
15,20
16,23
17,23
18,24
19,26
20,28
21,30
22,31
23,30
24,32
25,33
26,36
27,37
28,39
29,41
30,43
31,43
32,43
33,44
34,44
35,45
36,46
37,48
38,50
39,51
40,51
41,53
42,55
43,57
44,58
45,58
46,59
47,59
48,60
49,61
50,62
51,64
1,0
2,1
3,2
4,2
5,4
6,5
7,6
8,7
9,8
10,10
11,11
12,13
13,15
14,15
15,17
16,19
17,20
18,22
19,23
20,24
21,26
22,27
23,28
24,28
25,27
26,29
27,29
28,31
29,39
30,41
31,40
32,42
33,44
34,45
35,47
36,49
37,51
38,53
39,51
40,52
41,52
42,53
43,54
44,57
45,58
46,61
1,0
2,1
3,1
4,2
5,4
6,5
7,6
8,6
9,8
10,7
11,8
12,11
13,15
14,17
15,19
16,18
17,20
18,20
19,21
20,23
21,25
22,28
23,28
24,29
25,31
26,32
27,35
28,34
29,36
30,44
31,46
32,45
33,46
34,46
35,46
36,46
37,46
38,45
39,45
40,43
41,43
42,42
43,44
44,44
45,46
46,46
47,48
48,49
49,50
50,51
51,52
1,0
2,1
3,2
4,4
5,6
6,8
7,9
8,8
9,9
10,9
11,10
12,10
13,11
14,13
15,15
16,17
17,18
18,19
19,19
20,20
21,22
22,26
23,28
24,32
25,34
26,36
27,37
28,37
29,37
30,36
31,37
32,38
33,39
34,41
35,43
36,44
37,44
38,44
39,45
40,45
41,45
42,45
43,45
44,45
45,45
46,46
47,47
48,49
49,51
50,52
51,52
52,52
53,52
54,52
55,52
56,53
57,54
1,0
2,1
3,1
4,3
5,4
6,5
7,6
8,5
9,6
10,6
11,5
12,6
13,7
14,8
15,10
16,12
17,14
18,13
19,13
20,14
21,15
22,17
23,18
24,19
25,20
26,23
27,27
28,28
29,29
30,30
31,29
32,30
33,29
34,30
35,29
36,30
37,32
38,34
39,36
40,38
41,38
42,40
43,41
44,43
45,44
46,45
47,46
48,48
49,49
50,49
51,50
52,50
53,51
1,0
2,1
3,0
4,2
5,4
6,6
7,7
8,6
9,7
10,6
11,8
12,7
13,8
14,10
15,12
16,14
17,17
18,23
19,24
20,25
21,24
22,25
23,24
24,24
25,24
26,24
27,24
28,26
29,25
30,27
31,28
32,30
33,31
34,30
35,32
36,32
37,34
38,36
39,37
40,39
41,40
42,40
43,42
44,43
45,46
46,47
47,48
48,50
49,52
50,51
51,50
52,52
53,52
1,0
2,1
3,2
4,3
5,5
6,9
7,11
8,11
9,12
10,11
11,12
12,12
13,14
14,15
15,16
16,18
17,17
18,17
19,16
20,17
21,16
22,17
23,17
24,18
25,19
26,21
27,23
28,23
29,24
30,26
31,29
32,30
33,31
34,33
35,34
36,34
37,36
38,35
39,36
40,38
41,39
42,40
43,40
44,42
45,44
46,45
47,46
48,45
49,46
50,45
51,46
52,46
1,0
2,1
3,1
4,3
5,5
6,7
7,7
8,7
9,7
10,6
11,7
12,6
13,8
14,7
15,10
16,18
17,19
18,19
19,21
20,20
21,23
22,31
23,32
24,32
25,32
26,32
27,32
28,30
29,31
30,32
31,31
32,33
33,35
34,37
35,37
36,37
37,38
38,40
39,41
40,43
41,43
42,42
43,43
44,43
45,44
46,47
47,51
48,53
49,55
50,56
1,0
2,1
3,2
4,4
5,5
6,6
7,6
8,7
9,8
10,10
11,11
12,15
13,17
14,18
15,19
16,21
17,23
18,24
19,25
20,24
21,25
22,26
23,26
24,28
