3 pumps, 5 attendent
GrossProfit,1014
Cost,170
Total profit,844
Late cars,5
Total cars,79
Late cars,6.329113924050633
GrossProfit,982
Cost,170
Total profit,812
Late cars,1
Total cars,75
Late cars,1.3333333333333333
GrossProfit,982
Cost,170
Total profit,812
Late cars,26
Total cars,75
Late cars,34.666666666666664
GrossProfit,970
Cost,170
Total profit,800
Late cars,12
Total cars,75
Late cars,16.0
GrossProfit,981
Cost,170
Total profit,811
Late cars,1
Total cars,76
Late cars,1.3157894736842106
3 pumps, 5 attendent
GrossProfit,991
Cost,170
Total profit,821
Late cars,0
Total cars,78
Late cars,0.0
GrossProfit,1004
Cost,170
Total profit,834
Late cars,1
Total cars,77
Late cars,1.2987012987012987
GrossProfit,1035
Cost,170
Total profit,865
Late cars,0
Total cars,82
Late cars,0.0
GrossProfit,1014
Cost,170
Total profit,844
Late cars,16
Total cars,79
Late cars,20.253164556962027
GrossProfit,971
Cost,170
Total profit,801
Late cars,41
Total cars,74
Late cars,55.4054054054054
