1 , 2
1,0
2,3
3,14
4,15
5,17
6,19
7,20
8,23
9,35
10,37
11,39
12,41
13,43
14,44
15,46
16,49
17,60
18,61
19,63
20,65
21,66
22,68
23,70
24,82
25,83
26,84
27,85
1,0
2,3
3,13
4,14
5,16
6,17
7,18
8,21
9,33
10,34
11,35
12,37
13,39
14,41
15,43
16,46
17,58
18,59
19,62
20,74
21,75
22,76
23,77
24,80
1,0
2,3
3,15
4,16
5,17
6,19
7,20
8,22
9,24
10,27
11,38
12,41
13,53
14,55
15,58
16,69
17,70
18,71
19,72
20,74
21,86
22,87
23,88
1,0
2,3
3,14
4,16
5,19
6,31
7,33
8,35
9,37
10,39
11,41
12,53
13,54
14,56
15,57
16,59
17,61
18,62
19,64
20,76
21,77
22,78
23,80
24,82
25,84
1,0
2,3
3,14
4,17
5,29
6,31
7,43
8,45
9,47
10,49
11,60
12,62
13,64
14,76
15,77
16,79
17,81
18,82
19,83
20,85
21,87
22,88
23,89
24,92
1,0
2,3
3,15
4,16
5,18
6,20
7,21
8,23
9,25
10,28
11,40
12,42
13,44
14,45
15,47
16,48
17,49
18,50
19,53
20,65
21,67
22,69
23,70
24,72
25,73
26,73
27,74
28,77
1,0
2,3
3,14
4,15
5,16
6,17
7,19
8,21
9,23
10,35
11,36
12,37
13,40
14,52
15,53
16,56
17,68
18,70
19,72
20,75
21,86
22,88
23,89
24,91
1,0
2,3
3,14
4,15
5,17
6,19
7,20
8,23
9,34
10,36
11,37
12,39
13,41
14,42
15,44
16,46
17,47
18,50
19,62
20,65
21,77
22,78
23,80
24,80
25,83
1,0
2,3
3,14
4,15
5,16
6,18
7,19
8,19
9,21
10,23
11,26
12,37
13,39
14,40
15,42
16,44
17,46
18,47
19,49
20,51
21,63
22,65
23,67
24,68
25,69
26,70
27,72
28,74
29,77
1,0
2,3
3,14
4,16
5,17
6,20
7,32
8,34
9,36
10,37
11,39
12,41
13,42
14,44
15,47
16,59
17,61
18,73
19,74
20,75
21,76
22,77
23,79
24,81
25,84
1,0
2,3
3,13
4,16
5,27
6,29
7,30
8,32
9,34
10,36
11,37
12,39
13,40
14,42
15,54
16,56
17,57
18,58
19,59
20,61
21,63
22,75
23,76
24,77
25,78
26,80
27,81
1,0
2,3
3,14
4,16
5,19
6,31
7,32
8,34
9,36
10,38
11,39
12,40
13,41
14,44
15,55
16,56
17,59
18,70
19,72
20,75
21,86
22,88
23,89
24,91
1,0
2,3
3,15
4,26
5,28
6,29
7,30
8,31
9,33
10,36
11,47
12,48
13,50
14,52
15,53
16,55
17,57
18,68
19,70
20,72
21,73
22,75
23,77
24,79
25,81
26,82
27,85
1,0
2,3
3,14
4,15
5,17
6,18
7,19
8,21
9,23
10,24
11,36
12,38
13,40
14,41
15,43
16,44
17,47
18,58
19,60
20,61
21,63
22,66
23,77
24,78
25,80
26,81
27,84
1,0
2,3
3,14
4,15
5,17
6,19
7,21
8,23
9,25
10,27
11,29
12,41
13,42
14,44
15,45
16,47
17,50
18,61
19,62
20,65
21,77
22,79
23,80
24,83
1,0
2,3
3,14
4,15
5,18
6,30
7,33
8,44
9,45
10,47
11,48
12,50
13,51
14,51
15,52
16,55
17,67
18,69
19,70
20,72
21,74
22,75
23,77
24,89
1,0
2,3
3,14
4,16
5,17
6,18
7,21
8,32
9,34
10,36
11,37
12,38
13,41
14,53
15,55
16,57
17,69
18,70
19,72
20,74
21,76
22,88
23,89
24,90
1,0
2,3
3,14
4,16
5,18
6,21
7,32
8,34
9,35
10,37
11,40
12,51
13,52
14,54
15,56
16,57
17,60
18,72
