1 , 5
1,0
2,3
3,14
4,15
5,17
6,18
7,21
8,33
9,34
10,36
11,38
12,41
13,52
14,54
15,55
16,57
17,58
18,59
19,61
20,63
21,64
22,65
23,68
24,80
25,82
26,84
27,85
1,0
2,3
3,14
4,15
5,17
6,19
7,20
8,22
9,25
10,37
11,37
12,39
13,40
14,42
15,43
16,46
17,58
18,60
19,61
20,63
21,64
22,66
23,67
24,68
25,70
26,72
27,75
1,0
2,3
3,15
4,16
5,18
6,20
7,22
8,33
9,36
10,48
11,49
12,51
13,53
14,54
15,55
16,56
17,58
18,60
19,63
20,74
21,76
22,78
23,80
24,82
25,83
26,85
27,87
1,0
2,3
3,13
4,14
5,15
6,17
7,19
8,21
9,23
10,25
11,37
12,39
13,41
14,42
15,44
16,45
17,48
18,60
19,62
20,63
21,65
22,67
23,68
24,71
25,83
26,86
1,0
2,3
3,14
4,17
5,28
6,30
7,32
8,35
9,46
10,48
11,51
12,62
13,65
14,77
15,78
16,80
17,82
18,82
19,83
20,85
21,86
22,87
23,90
1,0
2,3
3,14
4,15
5,17
6,20
7,31
8,33
9,34
10,36
11,37
12,38
13,40
14,42
15,43
16,45
17,48
18,59
19,61
20,63
21,65
22,66
23,68
24,71
25,83
26,84
27,87
1,0
2,3
3,13
4,15
5,17
6,19
7,20
8,21
9,23
10,35
11,37
12,38
13,39
14,40
15,43
16,55
17,57
18,59
19,61
20,62
21,65
22,76
23,77
24,79
25,80
26,82
27,85
1,0
2,3
3,15
4,27
5,29
6,30
7,42
8,43
9,45
10,48
11,60
12,61
13,64
14,75
15,77
16,79
17,80
18,82
19,94
20,96
1,0
2,3
3,13
4,15
5,16
6,18
7,20
8,21
9,22
10,24
11,27
12,39
13,41
14,43
15,45
16,47
17,48
18,50
19,52
20,52
21,52
22,55
23,66
24,67
25,69
26,72
27,84
1,0
2,3
3,14
4,17
5,28
6,30
7,31
8,32
9,34
10,37
11,49
12,51
13,52
14,53
15,55
16,57
17,59
18,60
19,63
20,74
21,76
22,77
23,78
24,80
25,81
1,0
2,3
3,14
4,16
5,17
6,19
7,31
8,32
9,34
10,35
11,38
12,50
13,52
14,52
15,53
16,55
17,57
18,59
19,60
20,63
21,74
22,75
23,77
24,79
25,80
26,81
27,83
1,0
2,3
3,15
4,16
5,17
6,19
7,21
8,22
9,24
10,36
11,38
12,39
13,40
14,42
15,43
16,46
17,58
18,59
19,61
20,62
21,63
22,65
23,77
24,78
25,80
26,81
27,83
1,0
2,3
3,14
4,16
5,18
6,20
7,21
8,22
9,23
10,26
11,37
12,39
13,39
14,42
15,54
16,56
17,58
18,59
19,62
20,73
21,76
22,88
23,90
24,91
1,0
2,3
3,14
4,15
5,17
6,19
7,31
8,33
9,36
10,48
11,50
12,52
13,52
14,54
15,56
16,68
17,70
18,72
19,74
20,86
21,88
22,89
23,91
24,93
1,0
2,3
3,13
4,14
5,15
6,16
7,18
8,20
9,21
10,23
11,25
12,37
13,39
14,40
15,42
16,44
17,46
18,48
19,60
20,62
21,64
22,64
23,65
24,68
25,80
26,82
27,83
1,0
2,3
3,14
4,15
5,17
6,18
7,19
8,21
9,23
10,25
11,26
12,28
13,40
14,42
15,43
16,44
17,46
18,47
19,49
20,50
21,51
22,53
23,56
24,67
25,69
26,71
27,73
28,75
29,76
30,78
1,0
2,3
3,14
4,15
5,17
6,18
7,20
8,22
9,25
10,37
11,39
12,41
13,44
14,56
15,58
16,60
17,60
18,62
19,65
20,76
21,77
22,79
23,81
24,84
1,0
2,3
3,13
4,15
5,17
6,19
7,22
8,34
9,36
10,37
11,39
12,40
13,41
14,43
15,55
16,57
17,58
18,61
19,73
20,75
21,77
22,79
23,80
24,81
25,83
26,84
27,85
1,0
2,3
3,15
4,16
5,18
6,19
7,21
8,22
9,24
10,26
11,29
12,39
13,41
14,42
15,44
16,47
17,58
18,59
19,60
20,62
21,64
22,67
23,79
24,80
25,81
26,83
27,84
1,0
2,3
3,15
4,17
5,19
6,21
7,22
8,24
9,25
10,26
11,29
12,41
13,53
14,55
15,56
16,57
17,60
18,72
19,75
20,86
21,88
22,91
1,0
2,3
3,14
4,15
5,17
6,18
7,20
8,22
9,25
10,37
11,40
12,52
13,54
14,66
15,67
16,68
17,69
18,71
19,74
20,86
21,88
22,89
23,91
24,92
1,0
2,3
3,13
4,15
5,17
6,18
7,20
8,20
9,23
10,35
11,37
12,49
13,51
14,52
15,54
16,55
17,57
18,59
19,71
20,73
21,74
22,76
23,87
24,89
1,0
2,3
3,13
4,15
5,17
6,19
7,21
8,23
9,25
10,27
11,28
12,30
13,32
14,35
15,46
16,48
17,60
18,62
19,74
20,76
21,77
22,78
23,79
24,81
25,82
26,85
1,0
2,3
3,14
4,16
5,17
6,20
7,31
8,33
9,36
10,47
11,47
12,49
13,51
14,53
15,55
16,57
17,59
18,61
19,63
20,75
21,77
22,79
23,80
24,82
25,85
1,0
2,3
3,14
4,15
5,17
6,18
7,20
8,21
9,23
10,35
11,37
12,38
13,39
14,42
15,54
16,56
17,68
18,69
19,71
20,73
21,85
22,87
23,89
24,91
1,0
2,3
3,14
4,16
5,16
6,18
7,19
8,21
9,23
10,24
11,25
12,28
13,40
14,52
15,55
16,67
17,69
18,70
19,71
20,72
21,75
22,87
23,89
24,90
1,0
2,3
3,14
4,15
5,17
6,19
7,20
8,22
9,24
10,26
11,28
12,40
13,41
14,43
15,44
16,47
17,59
18,60
19,62
20,64
21,76
22,78
23,80
24,81
25,83
26,84
27,86
1,0
2,3
3,14
4,15
5,17
6,17
7,19
8,31
9,32
10,34
11,36
12,38
13,39
14,42
15,54
16,54
17,56
18,57
19,60
20,71
21,72
22,73
23,75
24,77
1,0
2,3
3,14
4,16
5,17
6,19
7,21
8,23
9,25
10,26
11,27
12,39
13,41
14,43
15,44
16,46
17,58
18,60
19,62
20,64
21,65
22,68
23,80
24,80
25,81
26,83
27,84
1,0
2,3
3,14
4,16
5,18
6,19
7,20
8,22
9,34
10,36
11,37
12,39
13,40
14,41
15,42
16,44
17,47
18,58
19,59
20,60
21,62
22,64
23,65
24,66
25,68
26,70
27,73
1,0
2,3
3,14
4,17
5,29
6,31
7,33
8,34
9,37
10,48
11,49
12,50
13,51
14,52
15,54
16,56
17,57
18,60
19,71
20,72
21,74
22,75
23,77
24,78
25,79
26,81
27,84
1,0
2,3
3,14
4,16
5,17
6,17
7,19
8,20
9,22
10,34
11,36
12,38
13,50
14,51
15,53
16,55
17,55
18,56
19,58
20,70
21,72
22,73
23,74
24,77
1,0
2,3
3,14
4,16
5,18
6,20
7,23
8,33
9,35
10,37
11,39
12,41
13,43
14,44
15,47
16,59
17,61
18,62
19,63
20,64
21,66
22,69
23,81
24,83
1,0
2,3
3,13
4,14
5,15
6,17
7,19
8,21
9,21
10,23
11,24
12,26
13,28
14,40
15,41
16,43
17,44
18,46
19,48
20,59
21,62
22,74
23,75
24,77
25,79
26,81
27,83
1,0
2,3
3,14
4,15
5,16
6,18
7,30
8,32
9,33
10,35
11,37
12,49
13,50
14,52
15,55
16,67
17,70
18,82
19,85
20,96
1,0
2,3
3,13
4,14
5,16
6,18
7,19
8,20
9,22
10,24
11,26
12,38
13,38
14,41
15,53
16,54
17,66
18,68
19,69
20,71
21,73
22,75
23,87
24,88
1,0
2,3
3,15
4,17
5,18
6,19
7,20
8,22
9,24
10,25
11,27
12,29
13,41
14,42
15,44
16,46
17,48
18,51
19,62
20,63
21,65
22,67
23,69
24,71
25,73
26,76
27,88
1,0
2,3
3,14
4,17
5,28
6,29
7,31
8,34
9,45
10,46
11,48
12,49
13,50
14,51
15,53
16,55
17,67
18,69
19,71
20,72
21,73
22,74
23,76
24,78
25,80
1,0
2,3
3,14
4,17
5,28
6,30
7,32
8,34
9,35
10,37
11,39
12,40
13,41
14,43
15,45
16,57
17,59
18,60
19,62
20,74
21,76
22,77
23,80
24,91
1,0
2,3
3,15
4,16
5,17
6,20
7,32
8,34
9,36
10,37
11,38
12,40
13,52
14,53
15,55
16,56
17,57
18,59
19,61
20,62
21,65
22,75
23,77
24,79
25,82
1,0
2,3
3,14
4,14
5,16
6,18
7,19
8,21
9,24
10,36
11,38
12,39
13,41
14,43
15,45
16,47
17,48
18,50
19,53
20,65
21,66
22,67
23,68
24,70
25,71
26,74
27,85
1,0
2,3
3,15
4,16
5,18
6,19
7,21
8,22
9,24
10,27
11,39
12,40
13,42
14,43
15,44
16,46
17,58
18,59
19,62
20,74
21,75
22,77
23,79
24,81
25,82
26,84
27,87
1,0
2,3
3,14
4,16
5,18
6,21
7,32
8,34
9,34
10,36
11,37
12,40
13,52
14,53
15,55
16,57
17,58
18,61
19,73
20,73
21,75
22,76
23,77
24,79
25,80
26,82
27,85
1,0
2,3
3,14
4,16
5,17
6,20
7,32
8,32
9,34
10,35
11,37
12,39
13,41
14,53
15,55
16,57
17,58
18,60
19,61
20,62
21,64
22,65
23,68
24,80
25,82
26,84
27,85
1,0
2,3
3,14
4,15
5,17
6,19
7,21
8,24
9,36
10,38
11,39
12,41
13,42
14,45
15,57
16,59
17,62
18,73
19,74
20,76
21,78
22,80
23,81
24,83
25,84
1,0
2,3
3,14
4,16
5,17
6,18
7,20
8,23
9,35
10,37
11,38
12,40
13,42
14,54
15,55
16,57
17,58
18,60
19,61
20,63
21,65
22,77
23,79
24,81
25,83
26,84
27,85
1,0
2,3
3,15
4,27
5,28
6,30
7,31
8,33
9,35
10,38
11,49
12,50
13,51
14,52
15,53
16,55
17,58
18,70
19,72
20,74
21,75
22,77
23,79
24,82
1,0
2,3
3,14
4,15
5,17
6,19
7,21
8,33
9,35
10,37
11,38
12,40
13,42
14,43
15,46
16,57
17,60
18,71
19,72
20,73
21,75
22,77
23,78
24,79
25,81
1,0
2,3
3,15
4,27
5,29
6,31
7,33
8,34
9,36
10,39
11,50
12,51
13,53
14,56
15,68
16,71
17,83
18,84
19,86
20,88
21,89
22,91
23,93
24,95
1,0
2,3
3,14
4,15
5,17
6,19
7,21
8,23
9,24
10,26
11,27
12,29
13,41
14,43
15,46
16,58
17,61
18,72
19,73
20,75
21,75
22,77
23,78
24,80
25,82
