3 pumps, 2 attendent
GrossProfit,1014
Cost,68
Total profit,946
Late cars,0
Total cars,79
Late cars,0.0
GrossProfit,1024
Cost,68
Total profit,956
Late cars,0
Total cars,81
Late cars,0.0
GrossProfit,992
Cost,68
Total profit,924
Late cars,31
Total cars,77
Late cars,40.25974025974026
GrossProfit,992
Cost,68
Total profit,924
Late cars,36
Total cars,77
Late cars,46.753246753246756
GrossProfit,1034
Cost,68
Total profit,966
Late cars,10
Total cars,83
Late cars,12.048192771084338
3 pumps, 2 attendent
GrossProfit,971
Cost,68
Total profit,903
Late cars,24
Total cars,74
Late cars,32.432432432432435
GrossProfit,1003
Cost,68
Total profit,935
Late cars,0
Total cars,78
Late cars,0.0
GrossProfit,949
Cost,68
Total profit,881
Late cars,26
Total cars,72
Late cars,36.111111111111114
GrossProfit,1024
Cost,68
Total profit,956
Late cars,0
Total cars,81
Late cars,0.0
GrossProfit,959
Cost,68
Total profit,891
Late cars,22
Total cars,74
Late cars,29.72972972972973
