5 pumps, 4 attendent
GrossProfit,1169
Cost,136
Total profit,1033
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1190
Cost,136
Total profit,1054
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1180
Cost,136
Total profit,1044
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1099
Cost,136
Total profit,963
Late cars,0
Total cars,90
Late cars,0.0
GrossProfit,1329
Cost,136
Total profit,1193
Late cars,0
Total cars,100
Late cars,0.0
5 pumps, 4 attendent
GrossProfit,1249
Cost,136
Total profit,1113
Late cars,0
Total cars,96
Late cars,0.0
GrossProfit,1224
Cost,136
Total profit,1088
Late cars,0
Total cars,97
Late cars,0.0
GrossProfit,1102
Cost,136
Total profit,966
Late cars,0
Total cars,87
Late cars,0.0
GrossProfit,1181
Cost,136
Total profit,1045
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1056
Cost,136
Total profit,920
Late cars,0
Total cars,85
Late cars,0.0
