5 pumps, 1 attendent
GrossProfit,1317
Cost,34
Total profit,1283
Late cars,0
Total cars,100
Late cars,0.0
GrossProfit,1157
Cost,34
Total profit,1123
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1261
Cost,34
Total profit,1227
Late cars,0
Total cars,96
Late cars,0.0
GrossProfit,1262
Cost,34
Total profit,1228
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1203
Cost,34
Total profit,1169
Late cars,0
Total cars,94
Late cars,0.0
5 pumps, 1 attendent
GrossProfit,1260
Cost,34
Total profit,1226
Late cars,0
Total cars,97
Late cars,0.0
GrossProfit,1169
Cost,34
Total profit,1135
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1215
Cost,34
Total profit,1181
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1258
Cost,34
Total profit,1224
Late cars,0
Total cars,99
Late cars,0.0
GrossProfit,1183
Cost,34
Total profit,1149
Late cars,0
Total cars,90
Late cars,0.0
