4 pumps, 1 attendent
GrossProfit,1217
Cost,34
Total profit,1183
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1157
Cost,34
Total profit,1123
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1159
Cost,34
Total profit,1125
Late cars,0
Total cars,90
Late cars,0.0
GrossProfit,1193
Cost,34
Total profit,1159
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1215
Cost,34
Total profit,1181
Late cars,0
Total cars,94
Late cars,0.0
4 pumps, 1 attendent
GrossProfit,1247
Cost,34
Total profit,1213
Late cars,0
Total cars,98
Late cars,0.0
GrossProfit,1158
Cost,34
Total profit,1124
Late cars,0
Total cars,91
Late cars,0.0
GrossProfit,1192
Cost,34
Total profit,1158
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1214
Cost,34
Total profit,1180
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1135
Cost,34
Total profit,1101
Late cars,0
Total cars,90
Late cars,0.0
