4 pumps, 2 attendent
GrossProfit,1180
Cost,68
Total profit,1112
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1204
Cost,68
Total profit,1136
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1229
Cost,68
Total profit,1161
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1204
Cost,68
Total profit,1136
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1238
Cost,68
Total profit,1170
Late cars,0
Total cars,95
Late cars,0.0
4 pumps, 2 attendent
GrossProfit,1239
Cost,68
Total profit,1171
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1239
Cost,68
Total profit,1171
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1147
Cost,68
Total profit,1079
Late cars,0
Total cars,90
Late cars,0.0
GrossProfit,1225
Cost,68
Total profit,1157
Late cars,0
Total cars,96
Late cars,0.0
GrossProfit,1168
Cost,68
Total profit,1100
Late cars,0
Total cars,93
Late cars,0.0
