1 pumps, 4 attendent
GrossProfit,324
Cost,136
Total profit,188
Late cars,18
Total cars,25
Late cars,72.0
GrossProfit,367
Cost,136
Total profit,231
Late cars,22
Total cars,30
Late cars,73.33333333333333
GrossProfit,324
Cost,136
Total profit,188
Late cars,18
Total cars,25
Late cars,72.0
GrossProfit,345
Cost,136
Total profit,209
Late cars,19
Total cars,28
Late cars,67.85714285714286
GrossProfit,345
Cost,136
Total profit,209
Late cars,22
Total cars,28
Late cars,78.57142857142857
1 pumps, 4 attendent
GrossProfit,367
Cost,136
Total profit,231
Late cars,21
Total cars,30
Late cars,70.0
GrossProfit,366
Cost,136
Total profit,230
Late cars,21
Total cars,31
Late cars,67.74193548387096
GrossProfit,345
Cost,136
Total profit,209
Late cars,20
Total cars,28
Late cars,71.42857142857143
GrossProfit,367
Cost,136
Total profit,231
Late cars,21
Total cars,30
Late cars,70.0
GrossProfit,303
Cost,136
Total profit,167
Late cars,18
Total cars,22
Late cars,81.81818181818181
