2 pumps, 1 attendent
GrossProfit,679
Cost,34
Total profit,645
Late cars,30
Total cars,54
Late cars,55.55555555555556
GrossProfit,690
Cost,34
Total profit,656
Late cars,31
Total cars,55
Late cars,56.36363636363637
GrossProfit,679
Cost,34
Total profit,645
Late cars,25
Total cars,54
Late cars,46.2962962962963
GrossProfit,647
Cost,34
Total profit,613
Late cars,32
Total cars,50
Late cars,64.0
GrossProfit,712
Cost,34
Total profit,678
Late cars,31
Total cars,57
Late cars,54.3859649122807
2 pumps, 1 attendent
GrossProfit,700
Cost,34
Total profit,666
Late cars,34
Total cars,57
Late cars,59.64912280701754
GrossProfit,626
Cost,34
Total profit,592
Late cars,26
Total cars,47
Late cars,55.319148936170215
GrossProfit,647
Cost,34
Total profit,613
Late cars,31
Total cars,50
Late cars,62.0
GrossProfit,648
Cost,34
Total profit,614
Late cars,38
Total cars,49
Late cars,77.55102040816327
GrossProfit,691
Cost,34
Total profit,657
Late cars,32
Total cars,54
Late cars,59.25925925925926
