4 pumps, 3 attendent
GrossProfit,1236
Cost,102
Total profit,1134
Late cars,0
Total cars,97
Late cars,0.0
GrossProfit,1228
Cost,102
Total profit,1126
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1191
Cost,102
Total profit,1089
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1179
Cost,102
Total profit,1077
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1191
Cost,102
Total profit,1089
Late cars,0
Total cars,94
Late cars,0.0
4 pumps, 3 attendent
GrossProfit,1179
Cost,102
Total profit,1077
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1148
Cost,102
Total profit,1046
Late cars,0
Total cars,89
Late cars,0.0
GrossProfit,1228
Cost,102
Total profit,1126
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1215
Cost,102
Total profit,1113
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1303
Cost,102
Total profit,1201
Late cars,0
Total cars,102
Late cars,0.0
