5 pumps, 5 attendent
GrossProfit,1224
Cost,170
Total profit,1054
Late cars,0
Total cars,97
Late cars,0.0
GrossProfit,1168
Cost,170
Total profit,998
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1283
Cost,170
Total profit,1113
Late cars,0
Total cars,98
Late cars,0.0
GrossProfit,1213
Cost,170
Total profit,1043
Late cars,0
Total cars,96
Late cars,0.0
GrossProfit,1283
Cost,170
Total profit,1113
Late cars,0
Total cars,98
Late cars,0.0
5 pumps, 5 attendent
GrossProfit,1318
Cost,170
Total profit,1148
Late cars,0
Total cars,99
Late cars,0.0
GrossProfit,1214
Cost,170
Total profit,1044
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1214
Cost,170
Total profit,1044
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1214
Cost,170
Total profit,1044
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1249
Cost,170
Total profit,1079
Late cars,0
Total cars,96
Late cars,0.0
