5 pumps, 3 attendent
GrossProfit,1215
Cost,102
Total profit,1113
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1270
Cost,102
Total profit,1168
Late cars,0
Total cars,99
Late cars,0.0
GrossProfit,1305
Cost,102
Total profit,1203
Late cars,0
Total cars,100
Late cars,0.0
GrossProfit,1213
Cost,102
Total profit,1111
Late cars,0
Total cars,96
Late cars,0.0
GrossProfit,1192
Cost,102
Total profit,1090
Late cars,0
Total cars,93
Late cars,0.0
5 pumps, 3 attendent
GrossProfit,1134
Cost,102
Total profit,1032
Late cars,0
Total cars,91
Late cars,0.0
GrossProfit,1271
Cost,102
Total profit,1169
Late cars,0
Total cars,98
Late cars,0.0
GrossProfit,1226
Cost,102
Total profit,1124
Late cars,0
Total cars,95
Late cars,0.0
GrossProfit,1227
Cost,102
Total profit,1125
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1205
Cost,102
Total profit,1103
Late cars,0
Total cars,92
Late cars,0.0
