3 pumps, 3 attendent
GrossProfit,1002
Cost,102
Total profit,900
Late cars,0
Total cars,79
Late cars,0.0
GrossProfit,1013
Cost,102
Total profit,911
Late cars,6
Total cars,80
Late cars,7.5
GrossProfit,950
Cost,102
Total profit,848
Late cars,28
Total cars,71
Late cars,39.436619718309856
GrossProfit,982
Cost,102
Total profit,880
Late cars,21
Total cars,75
Late cars,28.0
GrossProfit,1023
Cost,102
Total profit,921
Late cars,0
Total cars,82
Late cars,0.0
3 pumps, 3 attendent
GrossProfit,982
Cost,102
Total profit,880
Late cars,40
Total cars,75
Late cars,53.333333333333336
GrossProfit,1056
Cost,102
Total profit,954
Late cars,0
Total cars,85
Late cars,0.0
GrossProfit,1012
Cost,102
Total profit,910
Late cars,0
Total cars,81
Late cars,0.0
GrossProfit,970
Cost,102
Total profit,868
Late cars,25
Total cars,75
Late cars,33.333333333333336
GrossProfit,981
Cost,102
Total profit,879
Late cars,1
Total cars,76
Late cars,1.3157894736842106
