2 pumps, 3 attendent
GrossProfit,627
Cost,102
Total profit,525
Late cars,35
Total cars,46
Late cars,76.08695652173913
GrossProfit,679
Cost,102
Total profit,577
Late cars,27
Total cars,54
Late cars,50.0
GrossProfit,691
Cost,102
Total profit,589
Late cars,23
Total cars,54
Late cars,42.592592592592595
GrossProfit,670
Cost,102
Total profit,568
Late cars,26
Total cars,51
Late cars,50.98039215686274
GrossProfit,711
Cost,102
Total profit,609
Late cars,25
Total cars,58
Late cars,43.10344827586207
2 pumps, 3 attendent
GrossProfit,700
Cost,102
Total profit,598
Late cars,32
Total cars,57
Late cars,56.14035087719298
GrossProfit,669
Cost,102
Total profit,567
Late cars,31
Total cars,52
Late cars,59.61538461538461
GrossProfit,701
Cost,102
Total profit,599
Late cars,36
Total cars,56
Late cars,64.28571428571429
GrossProfit,647
Cost,102
Total profit,545
Late cars,30
Total cars,50
Late cars,60.0
GrossProfit,679
Cost,102
Total profit,577
Late cars,30
Total cars,54
Late cars,55.55555555555556
