4 pumps, 5 attendent
GrossProfit,1204
Cost,170
Total profit,1034
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1261
Cost,170
Total profit,1091
Late cars,0
Total cars,96
Late cars,0.0
GrossProfit,1113
Cost,170
Total profit,943
Late cars,0
Total cars,88
Late cars,0.0
GrossProfit,1236
Cost,170
Total profit,1066
Late cars,0
Total cars,97
Late cars,0.0
GrossProfit,1217
Cost,170
Total profit,1047
Late cars,0
Total cars,92
Late cars,0.0
4 pumps, 5 attendent
GrossProfit,1258
Cost,170
Total profit,1088
Late cars,0
Total cars,99
Late cars,0.0
GrossProfit,1170
Cost,170
Total profit,1000
Late cars,0
Total cars,91
Late cars,0.0
GrossProfit,1194
Cost,170
Total profit,1024
Late cars,0
Total cars,91
Late cars,0.0
GrossProfit,1240
Cost,170
Total profit,1070
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1252
Cost,170
Total profit,1082
Late cars,0
Total cars,93
Late cars,0.0
