1 pumps, 1 attendent
GrossProfit,345
Cost,34
Total profit,311
Late cars,20
Total cars,28
Late cars,71.42857142857143
GrossProfit,366
Cost,34
Total profit,332
Late cars,22
Total cars,31
Late cars,70.96774193548387
GrossProfit,346
Cost,34
Total profit,312
Late cars,21
Total cars,27
Late cars,77.77777777777777
GrossProfit,378
Cost,34
Total profit,344
Late cars,24
Total cars,31
Late cars,77.41935483870968
GrossProfit,325
Cost,34
Total profit,291
Late cars,17
Total cars,24
Late cars,70.83333333333333
1 pumps, 1 attendent
GrossProfit,324
Cost,34
Total profit,290
Late cars,17
Total cars,25
Late cars,68.0
GrossProfit,345
Cost,34
Total profit,311
Late cars,19
Total cars,28
Late cars,67.85714285714286
GrossProfit,346
Cost,34
Total profit,312
Late cars,19
Total cars,27
Late cars,70.37037037037037
GrossProfit,345
Cost,34
Total profit,311
Late cars,21
Total cars,28
Late cars,75.0
GrossProfit,346
Cost,34
Total profit,312
Late cars,22
Total cars,27
Late cars,81.48148148148148
