2 pumps, 2 attendent
GrossProfit,679
Cost,68
Total profit,611
Late cars,29
Total cars,54
Late cars,53.7037037037037
GrossProfit,637
Cost,68
Total profit,569
Late cars,29
Total cars,48
Late cars,60.416666666666664
GrossProfit,658
Cost,68
Total profit,590
Late cars,31
Total cars,51
Late cars,60.78431372549019
GrossProfit,712
Cost,68
Total profit,644
Late cars,35
Total cars,57
Late cars,61.40350877192982
GrossProfit,680
Cost,68
Total profit,612
Late cars,17
Total cars,53
Late cars,32.075471698113205
2 pumps, 2 attendent
GrossProfit,680
Cost,68
Total profit,612
Late cars,38
Total cars,53
Late cars,71.69811320754717
GrossProfit,658
Cost,68
Total profit,590
Late cars,33
Total cars,51
Late cars,64.70588235294117
GrossProfit,679
Cost,68
Total profit,611
Late cars,24
Total cars,54
Late cars,44.44444444444444
GrossProfit,638
Cost,68
Total profit,570
Late cars,35
Total cars,47
Late cars,74.46808510638297
GrossProfit,691
Cost,68
Total profit,623
Late cars,33
Total cars,54
Late cars,61.111111111111114
