4 pumps, 4 attendent
GrossProfit,1213
Cost,136
Total profit,1077
Late cars,0
Total cars,96
Late cars,0.0
GrossProfit,1228
Cost,136
Total profit,1092
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1272
Cost,136
Total profit,1136
Late cars,0
Total cars,97
Late cars,0.0
GrossProfit,1215
Cost,136
Total profit,1079
Late cars,0
Total cars,94
Late cars,0.0
GrossProfit,1229
Cost,136
Total profit,1093
Late cars,0
Total cars,92
Late cars,0.0
4 pumps, 4 attendent
GrossProfit,1212
Cost,136
Total profit,1076
Late cars,0
Total cars,97
Late cars,0.0
GrossProfit,1240
Cost,136
Total profit,1104
Late cars,0
Total cars,93
Late cars,0.0
GrossProfit,1157
Cost,136
Total profit,1021
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1157
Cost,136
Total profit,1021
Late cars,0
Total cars,92
Late cars,0.0
GrossProfit,1251
Cost,136
Total profit,1115
Late cars,0
Total cars,94
Late cars,0.0
